Student_ID,University,Department,Semester,Gender,Age,CGPA,Java,Python,DSA,DBMS,OS,CN,Web_Development,SQL,Git,Cloud,AI_ML,Communication,Aptitude,Teamwork,Internship,Certifications,Resume_Score,Coding_Test_Score,Mock_Interview_Score,Curriculum_Coverage,Industry_Skill_Level,Skill_Gap_Score,Placement,Company,Package_LPA,Placement_Probability
S0001,University D,CSE-AI,8,Female,24,8.31,1,3,2,2,2,1,5,1,5,4,1,1,1,2,Yes,4,88,41,80,2.0,2.43,2.57,Yes,Amazon,6.48,0.85
S0002,University A,CSE-DS,8,Female,24,6.72,1,2,4,3,3,2,2,3,1,1,4,1,3,3,No,6,52,86,74,2.57,2.0,3.0,Yes,IBM,11.54,0.78
S0003,University B,CSE-AI,8,Male,23,6.35,1,1,2,3,1,2,1,4,3,4,3,2,3,3,Yes,5,67,84,88,2.0,2.29,2.71,Yes,Microsoft,13.22,0.82
S0004,University C,IT,8,Female,22,7.17,5,2,3,1,2,1,3,4,3,1,2,5,3,2,No,3,91,69,54,2.71,3.0,2.0,Yes,Accenture,7.47,0.92
S0005,University C,CSE-DS,8,Male,22,6.47,2,5,4,1,1,1,2,2,4,5,1,4,4,5,No,4,66,75,100,1.86,3.57,1.43,Yes,Infosys,17.64,0.93
S0006,University C,CSE-AI,8,Male,21,7.41,4,1,3,5,2,5,1,3,5,5,2,2,3,2,Yes,4,70,71,46,3.29,3.14,1.86,Yes,Cognizant,5.18,0.94
S0007,University D,CSE-DS,8,Female,24,9.36,1,1,4,1,5,2,2,4,5,2,3,5,5,4,Yes,4,98,86,89,2.71,3.0,2.0,Yes,Capgemini,6.52,1.0
S0008,University B,CSE-DS,8,Female,21,7.49,2,2,1,3,1,5,5,2,5,2,1,1,1,2,Yes,0,71,44,77,2.71,2.0,3.0,No,,0.0,0.71
S0009,University A,CSE-AI,8,Male,21,7.87,5,5,4,2,4,4,2,1,1,4,3,4,4,4,Yes,5,91,81,51,3.14,3.71,1.29,Yes,Cognizant,4.41,1.0
S0010,University A,CSE-AI,8,Female,20,7.86,2,4,2,3,4,2,1,4,5,1,1,5,1,1,Yes,1,76,71,75,2.57,2.86,2.14,Yes,IBM,6.71,0.93
S0011,University B,CSE,8,Male,21,9.84,3,4,3,4,5,4,2,2,3,2,1,5,5,1,No,0,53,77,75,3.29,3.0,2.0,Yes,Amazon,11.04,1.0
S0012,University D,CSE-AI,8,Female,23,5.8,1,2,4,1,5,2,5,5,1,5,1,4,5,5,No,2,63,82,90,3.29,2.57,2.43,Yes,Capgemini,8.21,0.83
S0013,University A,CSE-DS,8,Male,21,6.89,1,1,4,5,5,1,1,5,2,5,3,2,3,1,Yes,2,68,50,73,3.14,2.57,2.43,Yes,Capgemini,16.01,0.82
S0014,University B,CSE-DS,8,Male,23,6.66,1,5,2,3,3,5,2,3,2,3,5,4,3,1,Yes,5,77,93,62,2.71,3.14,1.86,Yes,Cognizant,4.16,0.95
S0015,University C,CSE-AI,8,Male,20,7.93,4,5,1,1,1,2,5,1,3,5,5,2,4,2,Yes,2,73,97,95,2.14,3.57,1.43,Yes,TCS,18.08,1.0
S0016,University B,CSE-AI,8,Female,22,7.06,5,4,5,2,2,2,2,4,1,2,3,4,2,3,Yes,6,94,46,69,3.14,3.43,1.57,Yes,Deloitte,16.58,1.0
S0017,University A,CSE,8,Female,22,6.84,2,2,1,2,4,3,3,1,3,3,5,4,5,3,Yes,0,66,51,82,2.29,2.86,2.14,Yes,Capgemini,17.94,0.78
S0018,University C,CSE,8,Female,24,8.71,3,4,5,5,1,4,5,2,3,1,4,1,5,5,Yes,2,77,44,87,3.57,3.0,2.0,Yes,Microsoft,17.31,0.94
S0019,University C,IT,8,Female,23,6.86,4,3,4,3,5,2,2,4,4,2,5,5,3,4,Yes,2,68,53,72,3.43,3.86,1.14,Yes,Microsoft,15.29,0.95
S0020,University D,IT,8,Male,23,8.47,5,4,2,1,3,5,5,3,1,2,3,2,2,2,Yes,0,65,70,84,3.43,2.71,2.29,Yes,Infosys,16.25,0.94
S0021,University C,IT,8,Female,24,7.68,2,2,1,1,4,2,2,5,4,1,5,2,1,4,Yes,6,79,82,78,2.43,2.43,2.57,Yes,Microsoft,18.32,0.87
S0022,University B,IT,8,Male,21,7.46,2,4,4,3,2,3,5,4,2,3,4,1,3,2,No,2,70,97,79,3.29,2.86,2.14,Yes,Wipro,4.71,0.89
S0023,University B,IT,8,Male,22,5.78,4,3,5,4,4,1,2,4,4,5,1,5,4,4,Yes,2,69,88,69,3.43,3.86,1.14,Yes,IBM,16.3,1.0
S0024,University C,IT,8,Female,21,7.42,1,4,3,4,2,4,2,5,5,1,4,5,5,1,Yes,5,77,48,100,3.0,3.29,1.71,Yes,TCS,10.43,0.92
S0025,University B,IT,8,Male,24,7.5,3,4,3,4,3,1,4,1,5,1,3,2,1,1,Yes,1,62,93,46,2.71,3.0,2.0,Yes,Accenture,12.82,0.91
S0026,University A,CSE-DS,8,Male,24,9.67,4,3,3,2,5,5,1,2,3,1,5,1,3,5,No,3,95,52,49,3.14,2.86,2.14,Yes,Accenture,12.38,0.92
S0027,University D,IT,8,Female,24,8.94,3,5,4,3,1,5,3,1,4,4,1,4,3,4,Yes,3,61,86,78,2.86,3.57,1.43,Yes,Capgemini,17.98,1.0
S0028,University C,CSE,8,Male,20,6.68,2,1,3,4,2,4,5,5,4,3,1,4,3,2,No,1,72,91,61,3.57,2.57,2.43,Yes,Microsoft,8.61,0.83
S0029,University C,CSE-DS,8,Female,22,6.56,4,4,5,2,4,4,4,1,1,3,2,4,2,3,No,3,85,73,67,3.43,3.29,1.71,Yes,Amazon,9.88,0.96
S0030,University A,CSE-AI,8,Female,20,6.85,2,1,2,3,1,5,2,2,2,4,3,5,5,5,No,0,62,58,59,2.43,2.71,2.29,Yes,Capgemini,8.91,0.78
S0031,University A,CSE,8,Male,21,9.79,5,3,2,4,1,1,5,3,4,4,4,3,2,1,No,6,80,47,97,3.0,3.57,1.43,Yes,Deloitte,4.48,1.0
S0032,University A,CSE-AI,8,Male,22,9.07,3,1,2,1,5,4,5,5,5,2,5,4,4,4,No,6,87,67,64,3.57,3.14,1.86,Yes,TCS,12.03,0.95
S0033,University C,CSE-AI,8,Female,20,8.41,2,2,2,5,1,2,1,4,4,5,4,3,1,2,No,5,68,84,100,2.43,3.14,1.86,Yes,Accenture,10.31,0.94
S0034,University A,IT,8,Female,24,7.9,2,3,2,1,1,2,3,5,5,3,4,1,4,3,No,2,82,74,76,2.29,2.86,2.14,Yes,Microsoft,10.07,0.81
S0035,University C,CSE,8,Male,22,6.6,1,2,5,5,1,3,5,1,2,4,5,4,3,2,No,5,81,45,75,3.0,3.29,1.71,Yes,Cognizant,8.72,0.85
S0036,University D,CSE,8,Male,22,7.31,4,3,4,5,1,4,1,3,3,3,1,4,5,1,No,3,53,52,78,3.14,3.14,1.86,Yes,Deloitte,8.93,0.9
S0037,University D,CSE-DS,8,Female,23,7.92,3,4,4,1,1,5,2,2,3,5,1,5,4,1,Yes,6,57,69,52,2.57,3.57,1.43,Yes,Wipro,13.22,1.0
S0038,University D,CSE-AI,8,Female,24,9.17,4,2,4,5,2,4,2,5,5,2,1,3,4,3,No,6,50,58,91,3.71,3.0,2.0,Yes,Microsoft,7.98,0.97
S0039,University D,CSE,8,Male,24,7.63,3,5,5,4,4,3,2,2,5,4,2,4,1,3,No,5,74,64,87,3.29,4.0,1.0,Yes,Wipro,15.39,1.0
S0040,University D,CSE-DS,8,Female,24,9.75,3,1,4,1,5,4,1,2,4,2,1,4,3,3,No,5,55,94,66,2.86,2.71,2.29,Yes,Amazon,16.29,1.0
S0041,University B,CSE-AI,8,Female,24,5.66,1,2,3,2,1,4,1,1,4,2,3,1,1,3,Yes,2,72,63,72,1.86,2.29,2.71,No,,0.0,0.71
S0042,University B,CSE,8,Female,22,8.5,2,2,2,1,5,4,5,2,4,5,2,2,4,3,No,2,92,40,96,3.0,2.71,2.29,Yes,Capgemini,10.48,0.83
S0043,University A,CSE,8,Female,22,9.85,3,4,3,4,3,2,4,4,1,2,4,5,3,5,No,5,68,41,98,3.29,3.14,1.86,Yes,Capgemini,13.37,1.0
S0044,University B,CSE-AI,8,Male,24,8.91,2,5,3,2,2,5,3,2,1,1,3,4,1,5,No,5,58,45,63,2.71,2.71,2.29,Yes,IBM,8.4,0.92
S0045,University C,CSE,8,Female,22,9.36,3,5,5,3,2,3,4,3,3,1,4,1,2,2,No,6,85,63,50,3.29,3.14,1.86,Yes,TCS,15.36,1.0
S0046,University A,CSE-DS,8,Female,20,8.46,3,5,4,3,1,2,4,1,5,5,3,5,2,1,No,5,69,81,71,2.57,4.29,0.71,Yes,TCS,5.25,1.0
S0047,University C,CSE,8,Female,24,5.93,5,2,4,4,3,5,4,5,2,4,1,4,5,4,No,0,94,63,58,4.29,3.14,1.86,Yes,Accenture,10.15,0.87
S0048,University B,CSE-AI,8,Male,22,9.47,3,1,4,3,2,1,4,1,2,5,1,1,3,2,Yes,6,86,53,49,2.57,2.43,2.57,Yes,Amazon,15.95,1.0
S0049,University A,CSE,8,Female,23,8.91,5,1,3,2,2,5,3,2,1,1,2,1,3,2,No,0,61,56,48,3.14,2.0,3.0,Yes,IBM,5.4,0.82
