PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,1,Passenger_1,male,29.0,0,0,TKT10001,187.09,,
2,0,2,Passenger_2,male,19.0,3,2,TKT10002,127.07,,S
3,0,2,Passenger_3,male,40.0,2,2,TKT10003,126.72,C21,Q
4,0,1,Passenger_4,female,38.0,0,0,TKT10004,208.76,,C
5,1,2,Passenger_5,female,23.0,0,1,TKT10005,84.92,C164,S
6,0,3,Passenger_6,male,,0,1,TKT10006,85.98,C146,C
7,1,3,Passenger_7,female,22.0,3,1,TKT10007,29.12,C110,S
8,1,2,Passenger_8,female,18.0,1,3,TKT10008,17.05,,S
9,1,2,Passenger_9,female,17.0,4,0,TKT10009,107.29,,S
10,0,2,Passenger_10,male,21.0,3,0,TKT10010,149.18,,Q
11,1,3,Passenger_11,female,23.0,4,0,TKT10011,63.23,C79,C
12,0,3,Passenger_12,male,24.0,0,3,TKT10012,85.39,,Q
13,0,2,Passenger_13,female,40.0,4,1,TKT10013,112.3,,C
14,1,2,Passenger_14,male,19.0,4,1,TKT10014,93.23,,S
15,1,3,Passenger_15,female,18.0,4,1,TKT10015,75.93,,Q
16,1,3,Passenger_16,male,28.0,2,3,TKT10016,44.05,,Q
17,1,2,Passenger_17,female,30.0,3,1,TKT10017,45.78,C26,S
18,0,3,Passenger_18,male,39.0,1,1,TKT10018,43.57,,C
19,1,2,Passenger_19,female,,4,3,TKT10019,26.83,C16,C
20,1,3,Passenger_20,male,19.0,4,1,TKT10020,7.89,,Q
21,0,2,Passenger_21,male,51.0,4,0,TKT10021,97.97,,C
22,1,2,Passenger_22,female,50.0,1,2,TKT10022,73.14,,S
23,0,3,Passenger_23,male,26.0,1,2,TKT10023,31.18,,C
24,0,2,Passenger_24,male,62.0,0,1,TKT10024,43.62,,S
25,1,3,Passenger_25,female,19.0,2,0,TKT10025,11.51,,C
26,0,3,Passenger_26,male,4.0,3,0,TKT10026,13.5,C150,Q
27,1,3,Passenger_27,female,42.0,0,2,TKT10027,23.53,,S
28,0,3,Passenger_28,male,33.0,1,3,TKT10028,4.61,,Q
29,0,2,Passenger_29,male,41.0,0,3,TKT10029,37.19,C58,
30,0,2,Passenger_30,male,48.0,0,2,TKT10030,56.89,,Q
31,0,2,Passenger_31,male,45.0,0,3,TKT10031,56.06,,C
32,0,1,Passenger_32,male,62.0,3,0,TKT10032,165.48,,Q
33,1,3,Passenger_33,female,19.0,2,2,TKT10033,70.16,,C
34,1,3,Passenger_34,female,55.0,2,3,TKT10034,58.02,C156,S
35,1,3,Passenger_35,female,20.0,1,0,TKT10035,31.05,C193,Q
36,1,3,Passenger_36,female,33.0,1,0,TKT10036,6.8,,C
37,1,3,Passenger_37,male,19.0,0,0,TKT10037,81.55,,S
38,0,3,Passenger_38,male,30.0,3,2,TKT10038,99.07,,C
39,1,2,Passenger_39,female,29.0,1,2,TKT10039,120.39,,Q
40,0,2,Passenger_40,male,14.0,4,0,TKT10040,24.31,,S
41,1,3,Passenger_41,female,,3,0,TKT10041,89.54,,Q
42,1,3,Passenger_42,female,,4,1,TKT10042,51.92,,C
43,1,3,Passenger_43,female,,4,0,TKT10043,94.67,,Q
44,1,1,Passenger_44,female,3.0,3,2,TKT10044,71.07,,C
45,1,3,Passenger_45,female,38.0,0,2,TKT10045,24.97,C64,S
46,0,1,Passenger_46,male,16.0,1,3,TKT10046,211.27,,Q
47,1,1,Passenger_47,male,36.0,2,3,TKT10047,127.73,C63,Q
48,1,3,Passenger_48,female,,4,0,TKT10048,37.53,,
49,1,3,Passenger_49,female,58.0,3,1,TKT10049,46.54,,Q
50,1,2,Passenger_50,female,51.0,4,2,TKT10050,52.48,,S
51,1,1,Passenger_51,female,56.0,1,2,TKT10051,250.59,C143,
52,0,2,Passenger_52,male,34.0,3,3,TKT10052,88.14,,S
53,0,2,Passenger_53,male,33.0,4,2,TKT10053,75.59,,Q
54,1,2,Passenger_54,female,51.0,1,0,TKT10054,113.57,C48,C
55,1,3,Passenger_55,female,23.0,2,0,TKT10055,87.08,,C
56,1,3,Passenger_56,female,1.0,4,2,TKT10056,73.28,,
57,1,3,Passenger_57,female,,2,3,TKT10057,13.73,,S
58,0,3,Passenger_58,male,31.0,0,1,TKT10058,14.18,,C
59,1,2,Passenger_59,female,24.0,4,0,TKT10059,96.47,,Q
60,0,2,Passenger_60,male,47.0,4,0,TKT10060,27.09,,C
61,1,2,Passenger_61,female,39.0,4,1,TKT10061,68.22,,Q
62,0,3,Passenger_62,male,34.0,4,2,TKT10062,46.91,C129,C
63,0,3,Passenger_63,female,6.0,4,2,TKT10063,4.72,C196,S
64,1,1,Passenger_64,female,13.0,1,3,TKT10064,165.18,,C
65,0,3,Passenger_65,male,22.0,1,2,TKT10065,44.11,C141,C
66,0,2,Passenger_66,male,40.0,0,3,TKT10066,135.56,,S
67,1,3,Passenger_67,female,30.0,1,2,TKT10067,58.15,,C
68,0,2,Passenger_68,male,10.0,0,3,TKT10068,17.4,C128,S
69,1,3,Passenger_69,female,25.0,3,1,TKT10069,48.71,,S
70,0,3,Passenger_70,male,,3,2,TKT10070,97.45,C151,Q
71,0,2,Passenger_71,female,14.0,4,3,TKT10071,72.85,,C
72,1,2,Passenger_72,female,35.0,3,3,TKT10072,62.24,,Q
73,1,1,Passenger_73,male,42.0,3,0,TKT10073,167.32,C40,C
74,0,3,Passenger_74,female,27.0,3,0,TKT10074,89.03,C195,Q
75,0,3,Passenger_75,male,47.0,1,0,TKT10075,46.38,,S
76,1,1,Passenger_76,female,38.0,0,2,TKT10076,116.03,,C
77,0,3,Passenger_77,male,54.0,1,3,TKT10077,95.27,,S
78,0,3,Passenger_78,female,43.0,1,0,TKT10078,47.18,,C
79,1,1,Passenger_79,female,57.0,3,2,TKT10079,182.29,,Q
80,0,3,Passenger_80,male,29.0,2,1,TKT10080,64.05,,C
81,1,2,Passenger_81,male,46.0,3,0,TKT10081,91.87,,Q
82,0,3,Passenger_82,male,18.0,2,2,TKT10082,86.86,C76,C
83,1,3,Passenger_83,female,24.0,1,3,TKT10083,100.83,,Q
84,1,3,Passenger_84,female,31.0,2,3,TKT10084,86.04,,C
85,0,3,Passenger_85,female,30.0,2,3,TKT10085,13.99,,S
86,1,3,Passenger_86,male,34.0,4,3,TKT10086,62.04,,Q
87,1,2,Passenger_87,female,43.0,1,2,TKT10087,18.34,,Q
88,1,3,Passenger_88,female,32.0,3,0,TKT10088,69.74,,Q
89,0,3,Passenger_89,male,37.0,4,1,TKT10089,85.08,C1,S
90,1,3,Passenger_90,male,55.0,1,0,TKT10090,69.57,C151,S
91,0,3,Passenger_91,male,51.0,0,3,TKT10091,47.84,,C
92,0,2,Passenger_92,male,37.0,0,0,TKT10092,156.03,C114,C
93,0,2,Passenger_93,male,25.0,4,2,TKT10093,61.45,,Q
94,0,3,Passenger_94,male,26.0,1,3,TKT10094,48.18,,S
95,1,3,Passenger_95,female,25.0,3,0,TKT10095,11.4,C34,S
96,1,2,Passenger_96,female,39.0,3,0,TKT10096,151.41,,Q
97,0,3,Passenger_97,female,37.0,0,2,TKT10097,60.69,,C
98,0,3,Passenger_98,male,19.0,2,0,TKT10098,20.5,,Q
99,0,3,Passenger_99,male,27.0,0,0,TKT10099,78.25,,S
100,1,3,Passenger_100,female,25.0,0,1,TKT10100,18.15,,Q
101,1,1,Passenger_101,female,26.0,3,0,TKT10101,92.99,,Q
102,0,2,Passenger_102,male,,1,1,TKT10102,120.14,C45,C
103,0,2,Passenger_103,male,10.0,3,0,TKT10103,69.92,,C
104,1,1,Passenger_104,female,22.0,0,2,TKT10104,58.89,,Q
105,1,1,Passenger_105,male,16.0,2,2,TKT10105,74.11,,S
106,1,3,Passenger_106,female,35.0,1,1,TKT10106,12.58,C168,C
107,1,2,Passenger_107,female,30.0,4,2,TKT10107,135.46,,Q
108,1,1,Passenger_108,female,6.0,4,0,TKT10108,101.31,,C
109,0,3,Passenger_109,male,18.0,0,3,TKT10109,94.88,,Q
110,1,1,Passenger_110,male,22.0,2,0,TKT10110,160.77,C135,S
111,0,2,Passenger_111,male,22.0,2,0,TKT10111,123.98,,Q
112,0,3,Passenger_112,female,38.0,2,0,TKT10112,61.57,,S
113,0,2,Passenger_113,male,,1,0,TKT10113,102.05,,C
114,1,1,Passenger_114,female,22.0,1,1,TKT10114,29.88,C135,S
115,1,1,Passenger_115,female,39.0,4,1,TKT10115,227.11,,S
116,1,2,Passenger_116,female,39.0,1,2,TKT10116,150.98,,C
117,1,1,Passenger_117,female,15.0,1,1,TKT10117,273.61,,S
118,1,1,Passenger_118,male,29.0,1,2,TKT10118,143.85,C57,Q
119,1,2,Passenger_119,female,17.0,3,0,TKT10119,60.53,C86,S
120,0,2,Passenger_120,male,,3,1,TKT10120,119.32,,C
121,0,2,Passenger_121,male,47.0,2,1,TKT10121,49.24,,S
122,1,3,Passenger_122,female,22.0,4,1,TKT10122,75.43,,C
123,1,3,Passenger_123,male,35.0,4,0,TKT10123,41.94,,C
124,1,2,Passenger_124,female,29.0,0,2,TKT10124,23.55,,C
125,1,1,Passenger_125,female,12.0,3,0,TKT10125,96.12,,S
126,0,3,Passenger_126,female,11.0,0,1,TKT10126,31.29,,S
127,1,3,Passenger_127,female,25.0,2,2,TKT10127,83.87,C47,Q
128,1,1,Passenger_128,female,37.0,2,2,TKT10128,142.81,,Q
129,1,3,Passenger_129,female,41.0,0,0,TKT10129,70.6,,C
130,0,3,Passenger_130,male,29.0,3,0,TKT10130,14.97,,S
131,0,3,Passenger_131,male,42.0,4,1,TKT10131,56.13,C7,C
132,1,2,Passenger_132,female,25.0,4,0,TKT10132,43.21,,C
133,1,3,Passenger_133,female,49.0,3,0,TKT10133,84.82,,C
134,0,3,Passenger_134,female,49.0,1,2,TKT10134,54.02,,S
135,1,3,Passenger_135,female,35.0,0,0,TKT10135,33.66,C148,Q
136,1,2,Passenger_136,female,13.0,4,2,TKT10136,22.78,C111,Q
137,0,1,Passenger_137,male,18.0,1,2,TKT10137,296.42,,Q
138,1,3,Passenger_138,male,28.0,0,1,TKT10138,62.5,C155,Q
139,0,3,Passenger_139,male,,2,1,TKT10139,80.38,C140,C
140,1,2,Passenger_140,female,46.0,3,2,TKT10140,72.57,,Q
141,0,3,Passenger_141,male,37.0,2,3,TKT10141,15.43,,C
142,1,1,Passenger_142,female,20.0,0,2,TKT10142,295.77,C84,Q
143,0,3,Passenger_143,female,31.0,3,2,TKT10143,52.86,,S
144,0,3,Passenger_144,male,13.0,3,2,TKT10144,56.87,C196,S
145,0,2,Passenger_145,male,47.0,2,0,TKT10145,62.28,C175,C
146,0,2,Passenger_146,male,35.0,2,2,TKT10146,118.73,,S
147,1,3,Passenger_147,female,22.0,1,2,TKT10147,97.16,C77,C
148,0,2,Passenger_148,female,29.0,0,2,TKT10148,53.85,C177,S
149,1,3,Passenger_149,female,53.0,4,1,TKT10149,75.73,C199,Q
150,1,1,Passenger_150,male,24.0,0,1,TKT10150,12.05,,C
151,1,3,Passenger_151,female,25.0,3,3,TKT10151,34.11,,S
152,0,3,Passenger_152,female,13.0,1,2,TKT10152,59.05,C177,S
153,1,3,Passenger_153,female,11.0,2,2,TKT10153,14.52,,Q
154,1,1,Passenger_154,male,56.0,0,2,TKT10154,289.23,,Q
155,1,2,Passenger_155,female,47.0,0,1,TKT10155,100.81,,S
156,0,3,Passenger_156,male,44.0,1,3,TKT10156,68.73,C83,C
157,0,3,Passenger_157,male,,0,1,TKT10157,44.74,C127,S
158,1,1,Passenger_158,female,21.0,4,0,TKT10158,290.59,,C
159,1,1,Passenger_159,male,21.0,1,3,TKT10159,204.79,C146,Q
160,0,3,Passenger_160,male,31.0,3,3,TKT10160,54.68,C123,S
161,1,3,Passenger_161,male,29.0,2,2,TKT10161,61.54,,Q
162,0,2,Passenger_162,male,40.0,3,2,TKT10162,108.83,,Q
163,0,3,Passenger_163,male,43.0,3,3,TKT10163,79.4,,Q
